AtomicNumber,Symbol,EnglishName,PersianName,AtomicMass,GroupNumber,PeriodNumber,ElectronConfiguration,ValenceElectrons,StandardState,Block,ElementType,AtomicRadius,Electronegativity
81,Tl,Thallium,تالیم,204.3833,13,6,[Xe]6s24f145d106p1,3,Solid,p,Metal,190,1.62
82,Pb,Lead,سرب,207.2,14,6,[Xe]6s24f145d106p2,4,Solid,p,Metal,180,2.33
83,Bi,Bismuth,بیسموت,208.98040,15 - Pnictogen,6,[Xe]6s24f145d106p3,5,Solid,p,Metal,160,2.02
84,Po,Polonium,پولونیم,209,16 - Chalcogen,6,[Xe]6s24f145d106p4,6,Solid,p,Metal,190,2
85,At,Astatine,آستاتین,210,17 - Halogen,6,[Xe]6s24f145d106p5,7,Solid,p,Semi-metal,150 pm (Covalent),2.2
86,Rn,Radon,رادون,222,18 - Noble Gas,6,[Xe]6s24f145d106p6,8,Gas,p,Non-metal,150 pm (Covalent),
87,Fr,Francium,فرانسیم,223,1 - Alkali Metal,7,[Rn]7s1,1,Solid,s,Metal,260 pm (Covalent),
88,Ra,Radium,رادیم,226,2 - Alkaline Earth Metal,7,[Rn]7s2,2,Solid,s,Metal,215,0.9
89,Ac,Actinium,اکتینیم,227,- Actinide,7,[Rn]7s26d1,,Solid,f,Metal,195,1.1
90,Th,Thorium,توریم,232.0377,- Actinide,7,[Rn]7s26d2,,Solid,f,Metal,180,1.3
91,Pa,Protactinium,پروتاکتینیم,231.03588,- Actinide,7,[Rn]7s25f26d1,,Solid,f,Metal,180,1.5
92,U,Uranium,اورانیوم,238.02891,- Actinide,7,[Rn]7s25f36d1,,Solid,f,Metal,175,1.38
93,Np,Neptunium,نپتونیم,237,- Actinide,7,[Rn]7s25f46d1,,Solid,f,Metal,175,1.36
94,Pu,Plutonium,پلوتونیم,244,- Actinide,7,[Rn]7s25f6,,Solid,f,Metal,175,1.28
95,Am,Americium,آمریسیم,243,- Actinide,7,[Rn]7s25f7,,Solid,f,Metal,175,1.3
96,Cm,Curium,کوریوم,247,- Actinide,7,[Rn]7s25f76d1,,Solid,f,Metal,169(3) pm (Covalent),1.3
97,Bk,Berkelium,برکلیم,247,- Actinide,7,[Rn]7s25f9,,Solid,f,Metal,244 pm (Van der Waals),1.3
98,Cf,Californium,کالیفرنیم,251,- Actinide,7,[Rn]7s25f10,,Solid,f,Metal,245 pm (Van der Waals),1.3
99,Es,Einsteinium,اینشتینیم,252,- Actinide,7,[Rn]7s25f11,,Solid,f,Metal,245 pm (Van der Waals),1.3
100,Fm,Fermium,فرمیم,257,- Actinide,7,[Rn] 5f12 7s2,,Solid,f,Metal,,1.3
101,Md,Mendelevium,مندلیفیم,258,- Actinide,7,[Rn]7s25f13,,Solid,f,Metal,,1.3
102,No,Nobelium,نوبلیم,259,- Actinide,7,[Rn]7s25f14,,Solid,f,Metal,,1.3
103,Lr,Lawrencium,لورنسیم,262,3 - Actinide,7,[Rn]7s25f146d1,,Solid,f,Metal,,
104,Rf,Rutherfordium,رادرفوردیم,263,4,7,[Rn]7s25f146d2,,Solid,d,Metal,empirical: 150 pm (estimated),
105,Db,Dubnium,دوبنیم,268,5,7,[Rn]7s25f146d3,,Solid,d,Metal,empirical: 139 pm (estimated),
106,Sg,Seaborgium,سیبورگیم,271,6,7,[Rn]7s25f146d4,,Solid,d,Metal,empirical: 132 pm (predicted),
107,Bh,Bohrium,بوریم,270,7,7,[Rn]7s25f146d5,,Solid,d,Metal,empirical: 128 pm (predicted),
108,Hs,Hassium,هاسیم,270,8,7,[Rn]7s25f146d6,,Solid,d,Metal,empirical: 126 pm (estimated),
109,Mt,Meitnerium,مایتنریم,278,9,7,[Rn]7s25f146d7(calculated),,Solid,d,Metal,empirical: 128 pm (predicted),
110,Ds,Darmstadtium,دارمشتاتیم,281,10,7,[Rn]7s25f146d8(predicted),,Expected to be a Solid,d,Metal,empirical: 132 pm (predicted),
111,Rg,Roentgenium,رونتگنیم,281,11,7,[Rn] 7s2 5f14 6d9(predicted),,Expected to be a Solid,d,Metal,empirical: 138 pm (predicted),
112,Cn,Copernicium,کوپرنیسیم,285,12,7,[Rn] 7s2 5f14 6d10(predicted),,Expected to be a Solid,d,Metal,empirical: 147 pm (predicted),
113,Nh,Nihonium,نیهونیم,286,13,7,[Rn] 5f14 6d10 7s2 7p1(predicted),3,Expected to be a Solid,p,Metal,empirical: 170 pm (predicted),
114,Fl,Flerovium,فلروویم,289,14,7,[Rn] 7s27p2 5f14 6d10(predicted),4,Expected to be a Solid,p,Metal,empirical: 180 pm (predicted),
115,Mc,Moscovium,مسکوویم,289,15 - Pnictogen,7,[Rn] 7s2 7p3 5f14 6d10(predicted),5,Expected to be a Solid,p,Metal,empirical: 187 pm (predicted),
116,Lv,Livermorium,لیورموریم,293,16 - Chalcogen,7,[Rn] 7s2 7p4 5f14 6d10(predicted),6,Expected to be a Solid,p,Metal,empirical: 183 pm (predicted),
117,Ts,Tennessine,تنسین,294,17 - Halogen,7,[Rn] 7s2 7p5 5f14 6d10(predicted),7,Expected to be a Solid,p,,empirical: 138 pm (predicted),
118,Og,Oganesson,اوگانسون,294,18 - Noble Gas,7,[Rn] 7s2 7p6 5f14 6d10(predicted),8,Expected to be a Gas,p,Non-metal,,
