AtomicNumber,Symbol,PersianName,Name,Atomic Mass,Density,Standard State,Electronegativity,Ionization Energy,Electron Configuration,Atomic Radius,Oxidation States,Electron Affinity,Melting Point,Boiling Point,Year Discovered,Metal / Metalloid / Nonmetal,Chemical Group / Family
50,Sn,قلع,Tin,118.71,7.287,Solid,1.96,7.344,[Kr]5s2 4d10 5p2,217,"+4, +2",1.2,505.08,2875,Ancient,Metal,Post-transition metal
51,Sb,آنتیموان,Antimony,121.760,6.685,Solid,2.05,8.64,[Kr]5s2 4d10 5p3,206,"+5, +3, -3",1.07,903.78,1860,Ancient,Semi-metal,Metalloid
52,Te,تلوریم,Tellurium,127.6,6.232,Solid,2.1,9.010,[Kr]5s2 4d10 5p4,206,"+6, +4, -2",1.971,722.66,1261,1782,Semi-metal,Metalloid
53,I,ید,Iodine,126.9045,4.93,Solid,2.66,10.451,[Kr]5s2 4d10 5p5,198,"+7, +5, +1, -1",3.059,386.85,457.55,1811,Non-metal,Halogen
54,Xe,زنون,Xenon,131.29,0.005887,Gas,2.6,12.130,[Kr]5s2 4d10 5p6,216,0,,161.36,165.03,1898,Non-metal,Noble gas
55,Cs,سزیم,Cesium,132.90545196,1.879,Solid,0.79,3.894,[Xe]6s1,343,+1,0.472,301.59,944,1860,Metal,Alkali metal
56,Ba,باریم,Barium,137.327,3.594,Solid,0.89,5.212,[Xe]6s2,268,+2,,1000,2170,1808,Metal,Alkaline earth metal
57,La,لانتان,Lanthanum,138.90547,6.145,Solid,1.1,5.577,[Xe]5d1 6s2,240,+3,0.5,1193,3737,1839,Metal,Lanthanide
58,Ce,سریم,Cerium,140.116,6.770,Solid,1.12,5.539,[Xe]4f1 5d1 6s2,235,"+4, +3",0.5,1068,3716,1803,Metal,Lanthanide
59,Pr,پراسئودیمیم,Praseodymium,140.90766,6.77,Solid,1.13,5.464,[Xe]4f3 6s2,239,+3,0.5,1208,3793,1885,Metal,Lanthanide
60,Nd,نئودیمیم,Neodymium,144.242,7.01,Solid,1.14,5.525,[Xe]4f4 6s2,229,+3,0.5,1297,3347,1885,Metal,Lanthanide
61,Pm,پرومتیم,Promethium,145,7.26,Solid,,5.55,[Xe]4f5 6s2,236,+3,,1315,3273,1945,Metal,Lanthanide
62,Sm,ساماریم,Samarium,150.36,7.52,Solid,1.17,5.644,[Xe]4f6 6s2,229,+3,0.5,1345,2067,1879,Metal,Lanthanide
63,Eu,یوروپیم,Europium,151.964,5.244,Solid,,5.670,[Xe]4f7 6s2,233,"+3, +2",,1099,1802,1901,Metal,Lanthanide
64,Gd,گادولینیم,Gadolinium,157.25,7.895,Solid,1.2,6.150,[Xe]4f7 5d1 6s2,237,+3,0.5,1585,3546,1880,Metal,Lanthanide
65,Tb,تربیم,Terbium,158.92535,8.33,Solid,,5.864,[Xe]4f9 6s2,221,+3,0.5,1629,3503,1843,Metal,Lanthanide
66,Dy,دیسپروزیم,Dysprosium,162.500,8.55,Solid,1.22,5.939,[Xe]4f10 6s2,229,+3,0.5,1680,2840,1886,Metal,Lanthanide
67,Ho,هولمیم,Holmium,164.93033,8.80,Solid,1.23,6.022,[Xe]4f11 6s2,216,+3,0.5,1734,2993,1878,Metal,Lanthanide
68,Er,اربیم,Erbium,167.259,9.066,Solid,1.24,6.108,[Xe]4f12 6s2,235,+3,0.5,1802,3141,1842,Metal,Lanthanide
69,Tm,تولیم,Thulium,168.93422,9.321,Solid,1.25,6.184,[Xe]4f13 6s2,227,+3,0.5,1818,2223,1879,Metal,Lanthanide
70,Yb,ایتربیم,Ytterbium,173.045,6.965,Solid,,6.254,[Xe]4f14 6s2,242,+3,0.5,1097,1469,1878,Metal,Lanthanide
71,Lu,لوتتیم,Lutetium,174.9668,9.840,Solid,1.27,5.426,[Xe]4f14 5d1 6s2,221,+3,0.5,1925,3675,1907,Metal,Lanthanide
72,Hf,هافنیوم,Hafnium,178.49,13.31,Solid,1.3,6.825,[Xe]4f14 5d2 6s2,212,+4,0.0,2506,4876,1923,Metal,Transition metal
73,Ta,تانتال,Tantalum,180.94788,16.65,Solid,1.5,7.89,[Xe]4f14 5d3 6s2,217,+5,0.322,3290,5731,1802,Metal,Transition metal
74,W,تنگستن,Tungsten,183.84,19.25,Solid,2.36,7.98,[Xe]4f14 5d4 6s2,210,"+6, +5, +4, +3, +2",0.815,3695,5828,1783,Metal,Transition metal
75,Re,رنیوم,Rhenium,186.207,21.02,Solid,1.9,7.833,[Xe]4f14 5d5 6s2,217,"+7, +6, +4",0.15,3459,5903,1925,Metal,Transition metal
76,Os,اسمیم,Osmium,190.23,22.59,Solid,2.2,8.438,[Xe]4f14 5d6 6s2,216,"+4, +3",1.1,3306,5285,1803,Metal,Transition metal
77,Ir,ایریدیم,Iridium,192.217,22.56,Solid,2.2,8.967,[Xe]4f14 5d7 6s2,202,"+4, +3",1.565,2739,4701,1803,Metal,Transition metal
78,Pt,پلاتین,Platinum,195.084,21.45,Solid,2.28,8.959,[Xe]4f14 5d9 6s1,213,"+4, +2",2.128,2041.4,4098,1735,Metal,Transition metal
79,Au,طلا,Gold,196.966569,19.3,Solid,2.54,9.226,[Xe]4f14 5d10 6s1,214,+3,2.309,1337.33,3129,Ancient,Metal,Transition metal
80,Hg,جیوه,Mercury,200.592,13.534,Liquid,2,10.438,[Xe]4f14 5d10 6s2,223,"+2, +1",0,234.32,629.88,Ancient,Metal,Transition metal
81,Tl,تالیم,Thallium,204.3833,11.85,Solid,1.62,6.108,[Xe]4f14 5d10 6s2 6p1,196,+3,0.377,577,1746,1861,Metal,Post-transition metal
82,Pb,سرب,Lead,207.2,11.34,Solid,2.33,7.417,[Xe]4f14 5d10 6s2 6p2,202,"+4, +2",0.364,600.61,2022,Ancient,Metal,Post-transition metal
83,Bi,بیسموت,Bismuth,208.98040,9.78,Solid,2.02,7.286,[Xe]4f14 5d10 6s2 6p3,170,"+5, +3",0.942,544.7,1837,Ancient,Metal,Pnictogen
84,Po,پولونیم,Polonium,209,9.196,Solid,2,8.417,[Xe]4f14 5d10 6s2 6p4,168,"+4, +2",1.9,527,1235,1898,Metal,Chalcogen
85,At,آستاتین,Astatine,210,,Solid,2.2,9.318,[Xe]4f14 5d10 6s2 6p5,150,+7,2.8,575,610,1940,Semi-metal,Halogen
